,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0008302000060211867,18.0,0.0,25,4096,0
1,1,0.02610050000657793,20.0,2.0,25,4096,0
2,2,0.026455900006112643,20.0,3.0,25,4096,0
3,3,0.026793000011821277,20.0,4.0,25,4096,0
4,4,0.027159300007042475,20.0,5.0,25,4096,0
5,5,0.02764680000836961,20.0,6.0,25,4096,0
6,6,0.028173099999548867,20.0,7.0,25,4096,0
7,7,0.028872499999124557,20.0,8.0,25,4096,0
8,8,0.02940300000773277,20.0,9.0,25,4096,0
9,9,0.03024839999852702,22.0,11.0,25,4096,0
10,10,0.03100280000944622,24.0,13.0,25,4096,0
11,11,0.03208150000136811,26.0,15.0,25,4096,0
12,12,0.03296700000646524,28.0,17.0,25,4096,0
13,13,0.03436879999935627,28.0,18.0,25,4096,0
14,14,0.03480170000693761,28.0,19.0,25,4096,0
15,15,0.035219099998357706,28.0,20.0,25,4096,0
16,16,0.03561910000280477,28.0,21.0,25,4096,0
17,17,0.03600639999785926,28.0,22.0,25,4096,0
18,18,0.03641590000188444,28.0,23.0,25,4096,0
19,19,0.03680690001056064,28.0,24.0,25,4096,0
20,20,0.037474299999303184,30.0,26.0,25,4096,0
21,21,0.037882300006458536,30.0,27.0,25,4096,0
22,22,0.03829470000346191,30.0,28.0,25,4096,0
23,23,0.03870280001137871,30.0,29.0,25,4096,0
24,24,0.03910619999805931,30.0,30.0,25,4096,0
25,25,0.039567100000567734,30.0,31.0,25,4096,0
26,26,0.03996510000433773,30.0,32.0,25,4096,0
27,27,0.04037899999821093,30.0,33.0,25,4096,0
28,28,0.04078809999919031,30.0,34.0,25,4096,0
29,29,0.04121110000414774,30.0,35.0,25,4096,0
30,30,0.0416350000014063,30.0,36.0,25,4096,0
31,31,0.04204900001059286,30.0,37.0,25,4096,0
32,32,0.04249110000091605,30.0,38.0,25,4096,0
33,33,0.043193400008021854,32.0,40.0,25,4096,0
34,34,0.043619100004434586,32.0,41.0,25,4096,0
35,35,0.04405229999974836,32.0,42.0,25,4096,0
36,36,0.04449620000377763,32.0,43.0,25,4096,0
37,37,0.044923900000867434,32.0,44.0,25,4096,0
38,38,0.045385999997961335,32.0,45.0,25,4096,0
39,39,0.04580790000909474,32.0,46.0,25,4096,0
40,40,0.046244800003478304,32.0,47.0,25,4096,0
