,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0002690999972401187,8.0,0.0,25,4096,0
1,1,0.013337999989744276,8.0,1.0,25,4096,0
2,2,0.013428199992631562,8.0,2.0,25,4096,0
3,3,0.01350859999365639,8.0,3.0,25,4096,0
4,4,0.01358839999011252,8.0,4.0,25,4096,0
5,5,0.013669199994183145,8.0,5.0,25,4096,0
6,6,0.013753599996562116,8.0,6.0,25,4096,0
7,7,0.013835399993695319,8.0,7.0,25,4096,0
8,8,0.013916999989305623,8.0,8.0,25,4096,0
9,9,0.014000199997099116,8.0,9.0,25,4096,0
10,10,0.01408409999567084,8.0,10.0,25,4096,0
11,11,0.01416869999957271,8.0,11.0,25,4096,0
12,12,0.014254699999582954,8.0,12.0,25,4096,0
13,13,0.014341399990371428,8.0,13.0,25,4096,0
14,14,0.014428599999519065,8.0,14.0,25,4096,0
15,15,0.01451759999326896,8.0,15.0,25,4096,0
16,16,0.01460640000004787,8.0,16.0,25,4096,0
17,17,0.014699299994390458,8.0,17.0,25,4096,0
18,18,0.014790399989578873,8.0,18.0,25,4096,0
19,19,0.014882199990097433,8.0,19.0,25,4096,0
20,20,0.014976099992054515,8.0,20.0,25,4096,0
21,21,0.01506949999020435,8.0,21.0,25,4096,0
22,22,0.015163999996730126,8.0,22.0,25,4096,0
23,23,0.015258899991749786,8.0,23.0,25,4096,0
24,24,0.015354899995145388,8.0,24.0,25,4096,0
25,25,0.015451899991603568,8.0,25.0,25,4096,0
26,26,0.015551399992546067,8.0,26.0,25,4096,0
27,27,0.015651199995772913,8.0,27.0,25,4096,0
28,28,0.015754799998831004,8.0,28.0,25,4096,0
29,29,0.015857199992751703,8.0,29.0,25,4096,0
30,30,0.015960199991241097,8.0,30.0,25,4096,0
31,31,0.01606359999277629,8.0,31.0,25,4096,0
32,32,0.016168899994227104,8.0,32.0,25,4096,0
33,33,0.01633249998849351,68.0,34.0,25,4096,0
34,34,0.016440099992905743,68.0,35.0,25,4096,0
35,35,0.016548399988096207,68.0,36.0,25,4096,0
36,36,0.016657499989378266,68.0,37.0,25,4096,0
37,37,0.01677029998973012,68.0,38.0,25,4096,0
38,38,0.016881699993973598,68.0,39.0,25,4096,0
39,39,0.016993299999739975,68.0,40.0,25,4096,0
40,40,0.01710599999933038,68.0,41.0,25,4096,0
41,41,0.01722009999502916,68.0,42.0,25,4096,0
42,42,0.017335099997580983,68.0,43.0,25,4096,0
43,43,0.017506199990748428,72.0,45.0,25,4096,0
44,44,0.017625299995415844,72.0,46.0,25,4096,0
45,45,0.017806999996537343,72.0,47.0,25,4096,0
46,46,0.01796819998708088,72.0,48.0,25,4096,0
47,47,0.018101899986504577,72.0,49.0,25,4096,0
48,48,0.01827769998635631,74.0,51.0,25,4096,0
49,49,0.018401499997708015,74.0,52.0,25,4096,0
50,50,0.0185258999990765,74.0,53.0,25,4096,0
51,51,0.018648899989784695,74.0,54.0,25,4096,0
52,52,0.01878009999927599,74.0,55.0,25,4096,0
53,53,0.01890819999971427,74.0,56.0,25,4096,0
54,54,0.01903709999169223,74.0,57.0,25,4096,0
55,55,0.01916749999509193,74.0,58.0,25,4096,0
56,56,0.01929649998783134,74.0,59.0,25,4096,0
57,57,0.019427699997322634,74.0,60.0,25,4096,0
58,58,0.019557599996915087,74.0,61.0,25,4096,0
59,59,0.019693899987032637,74.0,62.0,25,4096,0
60,60,0.019826799994916655,74.0,63.0,25,4096,0
61,61,0.019959199998993427,74.0,64.0,25,4096,0
62,62,0.020095499989110976,74.0,65.0,25,4096,0
63,63,0.020231299989973195,74.0,66.0,25,4096,0
64,64,0.020368199999211356,74.0,67.0,25,4096,0
65,65,0.02050779999990482,74.0,68.0,25,4096,0
66,66,0.02064589998917654,74.0,69.0,25,4096,0
67,67,0.02080749999731779,74.0,70.0,25,4096,0
68,68,0.02095139998709783,74.0,71.0,25,4096,0
69,69,0.021095499992952682,74.0,72.0,25,4096,0
70,70,0.02123790000041481,74.0,73.0,25,4096,0
71,71,0.02137889999721665,74.0,74.0,25,4096,0
72,72,0.02152409999689553,74.0,75.0,25,4096,0
73,73,0.02168159998836927,74.0,76.0,25,4096,0
74,74,0.021833199993125163,74.0,77.0,25,4096,0
75,75,0.021980699995765463,74.0,78.0,25,4096,0
76,76,0.022129799996037036,74.0,79.0,25,4096,0
77,77,0.022280099990894087,74.0,80.0,25,4096,0
78,78,0.022430299999541603,74.0,81.0,25,4096,0
79,79,0.022580599994398654,74.0,82.0,25,4096,0
80,80,0.02273599999898579,74.0,83.0,25,4096,0
81,81,0.02289089999976568,74.0,84.0,25,4096,0
82,82,0.02304619998903945,74.0,85.0,25,4096,0
83,83,0.0232586999918567,75.0,87.0,25,4096,0
84,84,0.023415699994075112,75.0,88.0,25,4096,0
85,85,0.023574999999254942,75.0,89.0,25,4096,0
86,86,0.023733699999866076,75.0,90.0,25,4096,0
87,87,0.023892699988209642,75.0,91.0,25,4096,0
88,88,0.0240532999887364,75.0,92.0,25,4096,0
89,89,0.02421909999975469,75.0,93.0,25,4096,0
90,90,0.02438439999241382,75.0,94.0,25,4096,0
91,91,0.024547299995901994,75.0,95.0,25,4096,0
92,92,0.02471529999456834,75.0,96.0,25,4096,0
93,93,0.024880400000256486,75.0,97.0,25,4096,0
94,94,0.025049899995792657,75.0,98.0,25,4096,0
95,95,0.025218700000550598,75.0,99.0,25,4096,0
96,96,0.02538819999608677,75.0,100.0,25,4096,0
97,97,0.025559099987731315,75.0,101.0,25,4096,0
98,98,0.025733099988428876,75.0,102.0,25,4096,0
99,99,0.02590359999157954,75.0,103.0,25,4096,0
100,100,0.02607979999447707,75.0,104.0,25,4096,0
101,101,0.02625459998671431,75.0,105.0,25,4096,0
102,102,0.026429499994264916,75.0,106.0,25,4096,0
103,103,0.026603499994962476,75.0,107.0,25,4096,0
104,104,0.026785099995322526,75.0,108.0,25,4096,0
105,105,0.026964299991959706,75.0,109.0,25,4096,0
106,106,0.027140899997903034,75.0,110.0,25,4096,0
107,107,0.027322499998263083,75.0,111.0,25,4096,0
108,108,0.027503899997100234,75.0,112.0,25,4096,0
109,109,0.027688299989677034,75.0,113.0,25,4096,0
110,110,0.027871799989952706,75.0,114.0,25,4096,0
111,111,0.028055299990228377,75.0,115.0,25,4096,0
112,112,0.028239599996595643,75.0,116.0,25,4096,0
113,113,0.028425699987565167,75.0,117.0,25,4096,0
114,114,0.02861139999004081,75.0,118.0,25,4096,0
115,115,0.02879949999623932,75.0,119.0,25,4096,0
116,116,0.02899029999389313,75.0,120.0,25,4096,0
117,117,0.029178599987062626,75.0,121.0,25,4096,0
118,118,0.029367999988608062,75.0,122.0,25,4096,0
119,119,0.029557799993199296,75.0,123.0,25,4096,0
120,120,0.029751599999144673,75.0,124.0,25,4096,0
121,121,0.029943599991383962,75.0,125.0,25,4096,0
122,122,0.03013719999580644,75.0,126.0,25,4096,0
123,123,0.03033129998948425,75.0,127.0,25,4096,0
124,124,0.03052459999162238,75.0,128.0,25,4096,0
125,125,0.030723999996553175,75.0,129.0,25,4096,0
126,126,0.030922799996915273,75.0,130.0,25,4096,0
127,127,0.03112179999880027,75.0,131.0,25,4096,0
128,128,0.031319399990024976,75.0,132.0,25,4096,0
129,129,0.03151939999952447,75.0,133.0,25,4096,0
130,130,0.031724299988127314,75.0,134.0,25,4096,0
131,131,0.031927099989843555,75.0,135.0,25,4096,0
132,132,0.03213089999917429,75.0,136.0,25,4096,0
