,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0011105000012321398,28.0,0.0,25,4096,0
1,1,0.02417230000719428,28.0,1.0,25,4096,0
2,2,0.024716600004467182,28.0,2.0,25,4096,0
3,3,0.0252463000069838,28.0,3.0,25,4096,0
4,4,0.025770100008230656,28.0,4.0,25,4096,0
5,5,0.02673490000597667,30.0,6.0,25,4096,0
6,6,0.027726100001018494,32.0,8.0,25,4096,0
7,7,0.028703600008157082,34.0,10.0,25,4096,0
8,8,0.02972310000041034,36.0,12.0,25,4096,0
9,9,0.030721200004336424,37.0,14.0,25,4096,0
10,10,0.031272200008970685,37.0,15.0,25,4096,0
11,11,0.031828400009544566,37.0,16.0,25,4096,0
12,12,0.03237960000114981,37.0,17.0,25,4096,0
13,13,0.03293339999800082,37.0,18.0,25,4096,0
14,14,0.03348470000491943,37.0,19.0,25,4096,0
15,15,0.03402849999838509,37.0,20.0,25,4096,0
16,16,0.03457129999878816,37.0,21.0,25,4096,0
17,17,0.035137200000463054,37.0,22.0,25,4096,0
18,18,0.03615220000210684,39.0,24.0,25,4096,0
19,19,0.03670850000344217,39.0,25.0,25,4096,0
20,20,0.03727169999910984,39.0,26.0,25,4096,0
21,21,0.03784270001051482,39.0,27.0,25,4096,0
22,22,0.03885989999980666,41.0,29.0,25,4096,0
23,23,0.03999630000907928,43.0,31.0,25,4096,0
24,24,0.04063709999900311,43.0,32.0,25,4096,0
25,25,0.04126320000796113,43.0,33.0,25,4096,0
26,26,0.0419941000000108,43.0,34.0,25,4096,0
27,27,0.0426183000090532,43.0,35.0,25,4096,0
28,28,0.04322859999956563,43.0,36.0,25,4096,0
29,29,0.04383429999870714,43.0,37.0,25,4096,0
30,30,0.0444504000042798,43.0,38.0,25,4096,0
31,31,0.04505510001035873,43.0,39.0,25,4096,0
32,32,0.045680000010179356,43.0,40.0,25,4096,0
33,33,0.04629009999916889,43.0,41.0,25,4096,0
34,34,0.04691850001108833,43.0,42.0,25,4096,0
35,35,0.04752240001107566,43.0,43.0,25,4096,0
36,36,0.04817770000954624,43.0,44.0,25,4096,0
37,37,0.048808400009875186,43.0,45.0,25,4096,0
38,38,0.049464000010630116,43.0,46.0,25,4096,0
39,39,0.05011500000546221,43.0,47.0,25,4096,0
40,40,0.05076080000435468,43.0,48.0,25,4096,0
41,41,0.05141090000688564,43.0,49.0,25,4096,0
42,42,0.052542200006428175,45.0,51.0,25,4096,0
43,43,0.05319430000963621,45.0,52.0,25,4096,0
44,44,0.053860700005316176,45.0,53.0,25,4096,0
45,45,0.054504400002770126,45.0,54.0,25,4096,0
46,46,0.05514350000885315,45.0,55.0,25,4096,0
47,47,0.05580270000791643,45.0,56.0,25,4096,0
48,48,0.056466900001396425,45.0,57.0,25,4096,0
49,49,0.05712080000375863,45.0,58.0,25,4096,0
50,50,0.0577806000073906,45.0,59.0,25,4096,0
51,51,0.05845399999816436,45.0,60.0,25,4096,0
52,52,0.059128699998836964,45.0,61.0,25,4096,0
53,53,0.05981050000991672,45.0,62.0,25,4096,0
54,54,0.06052820000331849,45.0,63.0,25,4096,0
55,55,0.06123180000577122,45.0,64.0,25,4096,0
56,56,0.061923100001877174,45.0,65.0,25,4096,0
57,57,0.06297640000411775,45.0,66.0,25,4096,0
58,58,0.063685400004033,45.0,67.0,25,4096,0
59,59,0.06436980000580661,45.0,68.0,25,4096,0
60,60,0.06502570000884589,45.0,69.0,25,4096,0
61,61,0.06571029999759048,45.0,70.0,25,4096,0
62,62,0.06637570000020787,45.0,71.0,25,4096,0
63,63,0.06704660000104923,45.0,72.0,25,4096,0
64,64,0.06773490000341553,45.0,73.0,25,4096,0
65,65,0.06841110000095796,45.0,74.0,25,4096,0
66,66,0.06908169999951497,45.0,75.0,25,4096,0
67,67,0.06977539999934379,45.0,76.0,25,4096,0
68,68,0.0709324000054039,47.0,78.0,25,4096,0
69,69,0.07162860000971705,47.0,79.0,25,4096,0
70,70,0.07233429999905638,47.0,80.0,25,4096,0
71,71,0.07301390000793617,47.0,81.0,25,4096,0
72,72,0.07371880000573583,47.0,82.0,25,4096,0
73,73,0.07441430000471883,47.0,83.0,25,4096,0
74,74,0.07510960000217892,47.0,84.0,25,4096,0
75,75,0.07582379999803379,47.0,85.0,25,4096,0
76,76,0.07651480000640731,47.0,86.0,25,4096,0
77,77,0.07723100000293925,47.0,87.0,25,4096,0
78,78,0.07794210000429302,47.0,88.0,25,4096,0
79,79,0.07864320000226144,47.0,89.0,25,4096,0
80,80,0.07936610000615474,47.0,90.0,25,4096,0
81,81,0.08009050000691786,47.0,91.0,25,4096,0
82,82,0.08093500000541098,47.0,92.0,25,4096,0
83,83,0.0817156000121031,47.0,93.0,25,4096,0
84,84,0.08252140000695363,47.0,94.0,25,4096,0
85,85,0.08328540000366047,47.0,95.0,25,4096,0
